gonderici_id,Toplam_fatura,Toplam_fatura_dovizi,Toplam_navlun,Toplam_navlun_dovizi,Toplam_sigorta,Toplam_sigorta_dovizi,Toplam_yurt_disi_harcamalar,Toplam_yurt_disi_harcamalarin_dovizi,Toplam_yurt_ici_harcamalar,Telafi_edici_vergi,Kap_adedi,DolayliOdeme,Komisyon,Tellaliye,RoyaltiLisans,Nakliye,Sigorta,GirisSonrasiNakliye,DigerOdemeler,VergiHarcFon,Brut_agirlik,Net_agirlik,Istatistiki_miktar,Fatura_miktari,Fatura_miktarinin_dovizi,Navlun_miktari,Navlun_miktarinin_dovizi,Istatistiki_kiymet,Sigorta_miktari,Sigorta_miktarinin_dovizi,Miktar_birimi,Adedi,Miktar,Yurtici_Diger,Yurtici_Banka,Yurtici_Depolama,Yurtici_Tahliye,Yurtici_Liman,Yurtici_Kultur,Yurtici_Kkdf,KDV_Iceren_Yurtici_Giderler_Toplami,Yurtici_Cevre,YurtDisi_Komisyon,YurtDisi_Komisyon_Dovizi,YurtDisi_Demuraj,YurtDisi_Demuraj_Dovizi,YurtDisi_Royalti,YurtDisi_Royalti_Dovizi,YurtDisi_Faiz,YurtDisi_Faiz_Dovizi,YurtDisi_Diger,YurtDisi_Diger_Dovizi,Alici,Rejim,Cikis_ulkesi,Gidecegi_sevk_ulkesi,Teslim_sekli,Teslim_yeri,Gonderici_satici_iliskisi,Islemin_niteligi,OdemeSekliKodu,VergiKodu,Gtip,Mensei_ulke,KDV_Oran,file_name
NoGonderici,72580.0,EUR,125500.0,,800.0,TRY,3500.0,TRY,6124.1,0.0,17.0,0.0,0.0,0.0,0.0,87118.93,327.54,0.0,0.0,0.0,17160.0,16500.0,16500.0,29716.37,EUR,87118.93,TRY,0.0,327.54,TRY,KGM,17.0,16500.0,1238.24,0.0,1637.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,1433.0,TRY,,4071,005,005,FCA,İTALYA,,11,2,10,350691909019,005,,IM698 - giden.xml
NoGonderici,137.3,USD,7750.0,,124.69,TRY,0.0,,6000.0,0.0,1.0,0.0,0.0,0.0,0.0,1716.08,31.61,0.0,0.0,0.0,5.19,4.07,100.0,100.0,USD,5746.07,TRY,0.0,90.81,TRY,C62,1.0,100.0,728.33,0.0,3641.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,4000,720,720,FCA,ÇİN HALK CUMHURİYETİ,,11,1,10,848190000011,720,,IM3238 - giden.xml
NoGonderici,22640.0,EUR,23500.0,,320.0,TRY,3250.0,TRY,6624.1,0.0,4.0,0.0,0.0,0.0,0.0,23500.0,320.0,0.0,0.0,0.0,3581.0,3500.0,3500.0,22640.0,EUR,23500.0,TRY,0.0,320.0,TRY,KGM,4.0,3500.0,1624.1,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,3250.0,TRY,,4071,011,011,EXW,İSPANYA,,,1,10,320710000000,011,,IM13838 - giden.xml
NoGonderici,30600.0,EUR,101500.0,,420.0,TRY,3500.0,TRY,6624.1,0.0,20.0,0.0,0.0,0.0,0.0,101500.0,420.0,0.0,0.0,0.0,20400.0,20000.0,20000.0,30600.0,EUR,101500.0,TRY,0.0,420.0,TRY,KGM,20.0,20000.0,1624.1,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,3500.0,TRY,,4071,005,005,EXW,İTALYA,,,1,10,320710000000,005,,IM12821 - giden.xml
NoGonderici,34002.0,EUR,12500.0,,420.0,TRY,3500.0,TRY,8624.1,0.0,7.0,0.0,0.0,0.0,0.0,403.26,3.2,0.0,0.0,0.0,14.34,12.92,1.0,1643.85,EUR,403.26,TRY,0.0,20.3,TRY,C62,7.0,1.0,78.51,0.0,338.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,169.21,TRY,,4071,005,005,FCA,İTALYA,,11,2,10,848340519022,005,,IM7219 - giden.xml
NoGonderici,25650.0,EUR,34250.0,,350.0,TRY,0.0,,69624.1,0.0,12.0,0.0,0.0,0.0,0.0,34250.0,350.0,0.0,0.0,0.0,15180.0,15000.0,15000.0,25650.0,EUR,34250.0,TRY,0.0,350.0,TRY,KGM,12.0,15000.0,5624.1,0.0,52000.0,4000.0,8000.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,4071,005,005,EXW,İTALYA,,11,2,10,690912000000,005,,IM6642 - giden.xml
NoGonderici,20475.0,EUR,6000.0,,300.0,TRY,3250.0,TRY,6624.1,0.0,1.0,0.0,0.0,0.0,0.0,6000.0,300.0,0.0,0.0,0.0,555.0,520.0,150.0,20475.0,EUR,6000.0,TRY,0.0,300.0,TRY,C62,1.0,150.0,1624.1,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,3250.0,TRY,,4071,005,005,EXW,İTALYA,,,2,10,680421000018,005,,IM16780 - giden.xml
NoGonderici,10746.0,EUR,16200.0,,200.0,TRY,0.0,,6624.1,0.0,3.0,0.0,0.0,0.0,0.0,16200.0,200.0,0.0,0.0,0.0,2643.0,2316.0,540.0,10746.0,EUR,16200.0,TRY,0.0,200.0,TRY,C62,3.0,540.0,1624.1,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,4071,061,068,FCA,ÇEK CUMHURİYETİ,,,2,10,690320900000,061,,IM22674 - giden.xml
NoGonderici,25670.0,EUR,28500.0,,350.0,TRY,3250.0,TRY,6624.1,0.0,6.0,0.0,0.0,0.0,0.0,19000.0,264.24,0.0,0.0,0.0,1800.0,1700.0,1700.0,6290.0,EUR,9500.0,TRY,0.0,85.76,TRY,KGM,6.0,1700.0,397.95,0.0,1225.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,796.35,TRY,,4071,005,005,EXW,İTALYA,,,1,10,382499920039,005,,IM21577 - giden.xml
NoGonderici,28815.0,EUR,33500.0,,450.0,TRY,3250.0,TRY,8124.1,0.0,7.0,0.0,0.0,0.0,0.0,19142.86,302.66,0.0,0.0,0.0,2700.0,2550.0,2550.0,9435.0,EUR,14357.14,TRY,0.0,147.34,TRY,KGM,7.0,2550.0,531.78,0.0,2128.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,1064.16,TRY,,4071,005,005,EXW,İTALYA,,,1,10,382499920039,005,,IM20635 - giden.xml
